step,body,x,y,z,energy
828,1,1.239543e+11,7.686379e+10,3.326193e+10,-2.650841e+33
834,0,7.808671e+04,1.449761e+04,6.273676e+03,-2.650849e+33
834,1,1.235929e+11,7.735224e+10,3.347330e+10,-2.650849e+33
840,0,7.917860e+04,1.480836e+04,6.408151e+03,-2.650857e+33
840,1,1.232292e+11,7.783927e+10,3.368406e+10,-2.650857e+33
846,0,8.027735e+04,1.512344e+04,6.544498e+03,-2.650865e+33
846,1,1.228633e+11,7.832485e+10,3.389419e+10,-2.650865e+33
852,0,8.138291e+04,1.544287e+04,6.682728e+03,-2.650873e+33
852,1,1.224951e+11,7.880898e+10,3.410369e+10,-2.650873e+33
858,0,8.249528e+04,1.576669e+04,6.822854e+03,-2.650882e+33
858,1,1.221246e+11,7.929165e+10,3.431256e+10,-2.650882e+33
864,0,8.361443e+04,1.609490e+04,6.964887e+03,-2.650890e+33
864,1,1.217519e+11,7.977286e+10,3.452080e+10,-2.650890e+33
870,0,8.474034e+04,1.642756e+04,7.108838e+03,-2.650898e+33
870,1,1.213769e+11,8.025259e+10,3.472840e+10,-2.650898e+33
876,0,8.587299e+04,1.676467e+04,7.254720e+03,-2.650906e+33
876,1,1.209996e+11,8.073083e+10,3.493535e+10,-2.650906e+33
882,0,8.701236e+04,1.710627e+04,7.402543e+03,-2.650914e+33
882,1,1.206202e+11,8.120758e+10,3.514166e+10,-2.650914e+33
888,0,8.815843e+04,1.745238e+04,7.552319e+03,-2.650923e+33
888,1,1.202385e+11,8.168283e+10,3.534732e+10,-2.650923e+33
894,0,8.931118e+04,1.780303e+04,7.704060e+03,-2.650931e+33
894,1,1.198545e+11,8.215656e+10,3.555232e+10,-2.650931e+33
900,0,9.047058e+04,1.815825e+04,7.857776e+03,-2.650939e+33
900,1,1.194684e+11,8.262877e+10,3.575666e+10,-2.650939e+33
906,0,9.163662e+04,1.851806e+04,8.013480e+03,-2.650947e+33
906,1,1.190800e+11,8.309946e+10,3.596035e+10,-2.650947e+33
912,0,9.280927e+04,1.888249e+04,8.171182e+03,-2.650955e+33
912,1,1.186895e+11,8.356860e+10,3.616336e+10,-2.650955e+33
918,0,9.398851e+04,1.925156e+04,8.330894e+03,-2.650963e+33
918,1,1.182967e+11,8.403620e+10,3.636571e+10,-2.650963e+33
924,0,9.517432e+04,1.962530e+04,8.492627e+03,-2.650972e+33
924,1,1.179018e+11,8.450225e+10,3.656739e+10,-2.650972e+33
930,0,9.636668e+04,2.000374e+04,8.656393e+03,-2.650980e+33
930,1,1.175047e+11,8.496673e+10,3.676839e+10,-2.650980e+33
936,0,9.756556e+04,2.038690e+04,8.822201e+03,-2.650988e+33
936,1,1.171054e+11,8.542963e+10,3.696870e+10,-2.650988e+33
