step,body,x,y,z,energy
738,0,1.131858e+04,1.948146e+03,9.167281e+02,-1.861888e+32
738,1,1.926689e+11,1.101319e+11,5.182414e+10,-1.861888e+32
744,0,1.149813e+04,1.995434e+03,9.389800e+02,-1.861895e+32
744,1,1.921101e+11,1.109281e+11,5.219881e+10,-1.861895e+32
750,0,1.167897e+04,2.043468e+03,9.615832e+02,-1.861901e+32
750,1,1.915472e+11,1.117220e+11,5.257238e+10,-1.861901e+32
756,0,1.186109e+04,2.092254e+03,9.845402e+02,-1.861908e+32
756,1,1.909803e+11,1.125135e+11,5.294486e+10,-1.861908e+32
762,0,1.204450e+04,2.141797e+03,1.007853e+03,-1.861914e+32
762,1,1.904094e+11,1.133027e+11,5.331622e+10,-1.861914e+32
768,0,1.222919e+04,2.192103e+03,1.031525e+03,-1.861921e+32
768,1,1.898345e+11,1.140896e+11,5.368647e+10,-1.861921e+32
774,0,1.241516e+04,2.243176e+03,1.055558e+03,-1.861927e+32
774,1,1.892556e+11,1.148740e+11,5.405559e+10,-1.861927e+32
780,0,1.260239e+04,2.295022e+03,1.079955e+03,-1.861933e+32
780,1,1.886728e+11,1.156560e+11,5.442359e+10,-1.861933e+32
786,0,1.279090e+04,2.347646e+03,1.104718e+03,-1.861940e+32
786,1,1.880861e+11,1.164356e+11,5.479044e+10,-1.861940e+32
792,0,1.298067e+04,2.401054e+03,1.129850e+03,-1.861946e+32
792,1,1.874954e+11,1.172128e+11,5.515614e+10,-1.861946e+32
798,0,1.317170e+04,2.455250e+03,1.155353e+03,-1.861953e+32
798,1,1.869008e+11,1.179875e+11,5.552069e+10,-1.861953e+32
804,0,1.336399e+04,2.510240e+03,1.181229e+03,-1.861959e+32
804,1,1.863022e+11,1.187597e+11,5.588408e+10,-1.861959e+32
810,0,1.355753e+04,2.566029e+03,1.207482e+03,-1.861966e+32
810,1,1.856998e+11,1.195295e+11,5.624630e+10,-1.861966e+32
816,0,1.375232e+04,2.622623e+03,1.234113e+03,-1.861972e+32
816,1,1.850935e+11,1.202967e+11,5.660734e+10,-1.861972e+32
822,0,1.394836e+04,2.680026e+03,1.261124e+03,-1.861979e+32
822,1,1.844833e+11,1.210614e+11,5.696719e+10,-1.861979e+32
828,0,1.414563e+04,2.738243e+03,1.288519e+03,-1.861985e+32
828,1,1.838692e+11,1.218236e+11,5.732585e+10,-1.861985e+32
834,0,1.434414e+04,2.797280e+03,1.316300e+03,-1.861992e+32
834,1,1.832513e+11,1.225833e+11,5.768331e+10,-1.861992e+32
840,0,1.454388e+04,2.857142e+03,1.344469e+03,-1.861998e+32
840,1,1.826296e+11,1.233403e+11,5.803956e+10,-1.861998e+32
846,0,1.474485e+04,2.917834e+03,1.373028e+03,-1.862005e+32
846,1,1.820041e+11,1.240948e+11,5.839460e+10,-1.862005e+32
852,0,1.494704e+04,2.979361e+03,1.401981e+03,-1.862011e+32
852,1,1.813747e+11,1.248467e+11,5.874841e+10,-1.862011e+32
858,0,1.515046e+04,3.041727e+03,1.431328e+03,-1.862018e+32
858,1,1.807415e+11,1.255960e+11,5.910099e+10,-1.862018e+32
864,0,1.535509e+04,3.104939e+03,1.461073e+03,-1.862024e+32
864,1,1.801046e+11,1.263426e+11,5.945234e+10,-1.862024e+32
870,0,1.556092e+04,3.169001e+03,1.491219e+03,-1.862031e+32
870,1,1.794639e+11,1.270866e+11,5.980244e+10,-1.862031e+32
876,0,1.576797e+04,3.233918e+03,1.521766e+03,-1.862037e+32
876,1,1.788194e+11,1.278280e+11,6.015128e+10,-1.862037e+32
882,0,1.597622e+04,3.299694e+03,1.552718e+03,-1.862044e+32
882,1,1.781712e+11,1.285666e+11,6.049887e+10,-1.862044e+32
888,0,1.618566e+04,3.366336e+03,1.584078e+03,-1.862050e+32
888,1,1.775193e+11,1.293026e+11,6.084519e+10,-1.862050e+32
894,0,1.639630e+04,3.433848e+03,1.615846e+03,-1.862057e+32
894,1,1.768636e+11,1.300359e+11,6.119024e+10,-1.862057e+32
900,0,1.660813e+04,3.502235e+03,1.648027e+03,-1.862063e+32
900,1,1.762043e+11,1.307664e+11,6.153400e+10,-1.862063e+32
906,0,1.682114e+04,3.571502e+03,1.680621e+03,-1.862070e+32
906,1,1.755412e+11,1.314942e+11,6.187648e+10,-1.862070e+32
912,0,1.703533e+04,3.641653e+03,1.713632e+03,-1.862076e+32
