step,body,x,y,z,energy
448,1,4.545603e+10,3.560348e+10,4.371557e+09,-3.787403e+32
452,0,2.102305e+03,4.777175e+02,5.865634e+01,-3.787436e+32
452,1,4.524167e+10,3.587126e+10,4.404437e+09,-3.787436e+32
456,0,2.138146e+03,4.902722e+02,6.019786e+01,-3.787470e+32
456,1,4.502572e+10,3.613778e+10,4.437161e+09,-3.787470e+32
460,0,2.174251e+03,5.030397e+02,6.176551e+01,-3.787503e+32
460,1,4.480817e+10,3.640301e+10,4.469727e+09,-3.787503e+32
464,0,2.210620e+03,5.160216e+02,6.335948e+01,-3.787537e+32
464,1,4.458903e+10,3.666695e+10,4.502135e+09,-3.787537e+32
468,0,2.247251e+03,5.292193e+02,6.497996e+01,-3.787570e+32
468,1,4.436831e+10,3.692959e+10,4.534383e+09,-3.787570e+32
472,0,2.284143e+03,5.426345e+02,6.662713e+01,-3.787604e+32
472,1,4.414602e+10,3.719092e+10,4.566470e+09,-3.787604e+32
476,0,2.321294e+03,5.562686e+02,6.830120e+01,-3.787637e+32
476,1,4.392217e+10,3.745092e+10,4.598395e+09,-3.787637e+32
480,0,2.358704e+03,5.701233e+02,7.000233e+01,-3.787671e+32
480,1,4.369676e+10,3.770961e+10,4.630157e+09,-3.787671e+32
484,0,2.396370e+03,5.842000e+02,7.173073e+01,-3.787704e+32
484,1,4.346980e+10,3.796695e+10,4.661755e+09,-3.787704e+32
488,0,2.434292e+03,5.985002e+02,7.348658e+01,-3.787738e+32
488,1,4.324130e+10,3.822294e+10,4.693187e+09,-3.787738e+32
492,0,2.472468e+03,6.130255e+02,7.527006e+01,-3.787771e+32
492,1,4.301127e+10,3.847758e+10,4.724453e+09,-3.787771e+32
496,0,2.510897e+03,6.277773e+02,7.708136e+01,-3.787805e+32
496,1,4.277972e+10,3.873086e+10,4.755551e+09,-3.787805e+32
500,0,2.549578e+03,6.427572e+02,7.892066e+01,-3.787838e+32
500,1,4.254665e+10,3.898276e+10,4.786481e+09,-3.787838e+32
504,0,2.588509e+03,6.579666e+02,8.078814e+01,-3.787872e+32
504,1,4.231208e+10,3.923328e+10,4.817241e+09,-3.787872e+32
508,0,2.627688e+03,6.734070e+02,8.268399e+01,-3.787905e+32
508,1,4.207600e+10,3.948240e+10,4.847829e+09,-3.787905e+32
512,0,2.667115e+03,6.890799e+02,8.460837e+01,-3.787939e+32
512,1,4.183844e+10,3.973013e+10,4.878246e+09,-3.787939e+32
516,0,2.706788e+03,7.049867e+02,8.656148e+01,-3.787972e+32
516,1,4.159939e+10,3.997644e+10,4.908490e+09,-3.787972e+32
